PNR;Nachname;Vorname;Kostenstellennummer;Kostenstellenbezeichnung;OE-Nummer;OE-Bezeichnung
b073921;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b072937;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b059190;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b073204;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b054495;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b073203;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b073529;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b050849;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b066527;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b048423;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b001114;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b067402;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b066977;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b002225;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b002433;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b066979;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b073651;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b071971;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b001683;Mustermann;Max2190;1016.0;LSP1-BAV 2;310035;bAV Vertrag 2
b056921;Mustermann;Max2190;1018.0;LSP1-BAV 1;313017;bAV Vertrag 1
b041018;Mustermann;Max2190;1018.0;LSP1-BAV 1;313017;bAV Vertrag 1
b073396;Mustermann;Max2190;1018.0;LSP1-BAV 1;313017;bAV Vertrag 1
b046178;Mustermann;Max2190;1018.0;LSP1-BAV 1;313017;bAV Vertrag 1
b042651;Mustermann;Max2190;1018.0;LSP1-BAV 1;313017;bAV Vertrag 1
b040355;Mustermann;Max2190;1018.0;LSP1-BAV 1;313017;bAV Vertrag 1
b041084;Mustermann;Max2190;1018.0;LSP1-BAV 1;313017;bAV Vertrag 1
b001064;Mustermann;Max2190;1018.0;LSP1-BAV 1;313017;bAV Vertrag 1
b000112;Mustermann;Max2190;1018.0;LSP1-BAV 1;313017;bAV Vertrag 1
b002316;Mustermann;Max2190;1018.0;LSP1-BAV 1;313017;bAV Vertrag 1
b042678;Mustermann;Max2190;1018.0;LSP1-BAV 1;313017;bAV Vertrag 1
b001976;Mustermann;Max2190;1018.0;LSP1-BAV 1;313017;bAV Vertrag 1
b071743;Mustermann;Max2190;1018.0;LSP1-BAV 1;313017;bAV Vertrag 1
b073725;Mustermann;Max2190;1018.0;LSP1-BAV 1;313017;bAV Vertrag 1
b042655;Mustermann;Max2190;1018.0;LSP1-BAV 1;313017;bAV Vertrag 1
b048394;Mustermann;Max2190;1018.0;LSP1-BAV 1;313017;bAV Vertrag 1
b059805;Mustermann;Max2190;1018.0;LSP1-BAV 1;313017;bAV Vertrag 1
b001895;Mustermann;Max2190;1018.0;LSP1-BAV 1;313017;bAV Vertrag 1
b040574;Mustermann;Max2190;1018.0;LSP1-BAV 1;313017;bAV Vertrag 1
b040594;Mustermann;Max2190;1018.0;LSP1-BAV 1;313017;bAV Vertrag 1
b001638;Mustermann;Max2190;1023.0;FS-KCM E3;309001;BU Leistung
b065895;Mustermann;Max2190;1023.0;FS-KCM E3;309061;BU Leistung Erstprüfung 1
b062438;Mustermann;Max2190;1023.0;FS-KCM E3;309061;BU Leistung Erstprüfung 1
b071260;Mustermann;Max2190;1023.0;FS-KCM E3;307020;BU Leistung Erstprüfung 2
b057970;Mustermann;Max2190;1023.0;FS-KCM E3;309152;BU Leistung Erstprüfung 3
b070298;Mustermann;Max2190;1023.0;FS-KCM E3;309144;BU Leistung Nachprüfung
b067286;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b051598;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b050859;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b062437;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b042594;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b002176;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b041424;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b048385;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b001294;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b072034;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b040302;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b002189;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b059782;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b001692;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b002657;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b059132;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b070018;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b051590;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b066311;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b054501;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b069876;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b054511;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b000757;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b069882;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b069040;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b057381;Mustermann;Max2190;1027.0;KS-LLEI;309079;KS Leben Leistung
b070330;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b071548;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b067814;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b065871;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b067798;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b065867;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b072727;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b069424;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b068994;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b067298;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b072943;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b067742;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b067832;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b002078;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b051584;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b068429;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b064225;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b071584;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b069214;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b069429;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b062368;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b067835;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b070766;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b069506;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b000861;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b069442;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b002045;Mustermann;Max2190;1033.0;KCM-BU Erstprüfung 2;307020;BU Leistung Erstprüfung 2
b058240;Mustermann;Max2190;1035.0;KV-Leitung;305000;Kranken-Produkte
b069142;Mustermann;Max2190;1036.0;VLS-Kranken Antrag/Vertrag;305008;Antrag/Vertrag KV
b068452;Mustermann;Max2190;1036.0;VLS-Kranken Antrag/Vertrag;305008;Antrag/Vertrag KV
b001359;Mustermann;Max2190;1036.0;VLS-Kranken Antrag/Vertrag;305008;Antrag/Vertrag KV
b073463;Mustermann;Max2190;1036.0;VLS-Kranken Antrag/Vertrag;305008;Antrag/Vertrag KV
b072556;Mustermann;Max2190;1036.0;VLS-Kranken Antrag/Vertrag;305008;Antrag/Vertrag KV
b072744;Mustermann;Max2190;1036.0;VLS-Kranken Antrag/Vertrag;305008;Antrag/Vertrag KV
b071423;Mustermann;Max2190;1036.0;VLS-Kranken Antrag/Vertrag;305008;Antrag/Vertrag KV
b071449;Mustermann;Max2190;1036.0;VLS-Kranken Antrag/Vertrag;305008;Antrag/Vertrag KV
b049981;Mustermann;Max2190;1036.0;VLS-Kranken Antrag/Vertrag;305008;Antrag/Vertrag KV
b054491;Mustermann;Max2190;1036.0;VLS-Kranken Antrag/Vertrag;305008;Antrag/Vertrag KV
b050094;Mustermann;Max2190;1036.0;VLS-Kranken Antrag/Vertrag;305008;Antrag/Vertrag KV
b070256;Mustermann;Max2190;1036.0;VLS-Kranken Antrag/Vertrag;305008;Antrag/Vertrag KV
b057996;Mustermann;Max2190;1036.0;VLS-Kranken Antrag/Vertrag;305008;Antrag/Vertrag KV
b066975;Mustermann;Max2190;1036.0;VLS-Kranken Antrag/Vertrag;305008;Antrag/Vertrag KV
b006238;Mustermann;Max2190;1036.0;VLS-Kranken Antrag/Vertrag;305008;Antrag/Vertrag KV
b069120;Mustermann;Max2190;1036.0;VLS-Kranken Antrag/Vertrag;305008;Antrag/Vertrag KV
b067306;Mustermann;Max2190;1036.0;VLS-Kranken Antrag/Vertrag;305008;Antrag/Vertrag KV
b053359;Mustermann;Max2190;1036.0;VLS-Kranken Antrag/Vertrag;305008;Antrag/Vertrag KV
b006118;Mustermann;Max2190;1036.0;VLS-Kranken Antrag/Vertrag;305008;Antrag/Vertrag KV
b057837;Mustermann;Max2190;1036.0;VLS-Kranken Antrag/Vertrag;305008;Antrag/Vertrag KV
b053380;Mustermann;Max2190;1039.0;FS-LSP1 E3;310035;bAV Vertrag 2
b069090;Mustermann;Max2190;1039.0;FS-LSP1 E3;310120;Riester Vertrag
b001402;Mustermann;Max2190;1039.0;FS-LSP1 E3;307030;bAV/Riester
b067844;Mustermann;Max2190;1039.0;FS-LSP1 E3;307030;bAV/Riester
b066493;Mustermann;Max2190;1039.0;FS-LSP1 E3;307030;bAV/Riester
b053375;Mustermann;Max2190;1039.0;FS-LSP1 E3;307030;bAV/Riester
b062307;Mustermann;Max2190;1039.0;FS-LSP1 E3;313017;bAV Vertrag 1
b006376;Mustermann;Max2190;1045.0;KV;305001;Kranken-Sekretariat
b062455;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b001866;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b071050;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b065278;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b070080;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b001344;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b069853;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b072913;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b057638;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b056733;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b001273;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b000120;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b065399;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b051579;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b002427;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b070829;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b058212;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b002418;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b001808;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b001987;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b054515;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b001801;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b001890;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b069468;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b068463;Mustermann;Max2190;1046.0;KS-Prozesse;310201;KS Übergreifende Prozesse
b070954;Mustermann;Max2190;1047.0;KCM-BU Erstprüfung 4 (FFM);309149;BU Leistung Frankfurt
b067992;Mustermann;Max2190;1047.0;KCM-BU Erstprüfung 4 (FFM);309149;BU Leistung Frankfurt
b071096;Mustermann;Max2190;1047.0;KCM-BU Erstprüfung 4 (FFM);309149;BU Leistung Frankfurt
b071004;Mustermann;Max2190;1047.0;KCM-BU Erstprüfung 4 (FFM);309149;BU Leistung Frankfurt
b070956;Mustermann;Max2190;1047.0;KCM-BU Erstprüfung 4 (FFM);309149;BU Leistung Frankfurt
b070955;Mustermann;Max2190;1047.0;KCM-BU Erstprüfung 4 (FFM);309149;BU Leistung Frankfurt
b071097;Mustermann;Max2190;1047.0;KCM-BU Erstprüfung 4 (FFM);309149;BU Leistung Frankfurt
b071095;Mustermann;Max2190;1047.0;KCM-BU Erstprüfung 4 (FFM);309149;BU Leistung Frankfurt
b071208;Mustermann;Max2190;1047.0;KCM-BU Erstprüfung 4 (FFM);309149;BU Leistung Frankfurt
b073049;Mustermann;Max2190;1047.0;KCM-BU Erstprüfung 4 (FFM);309149;BU Leistung Frankfurt
b001853;Mustermann;Max2190;1066.0;KS-IOS-AQU1;310028;Auftragsqualifizierung 1
b000963;Mustermann;Max2190;1066.0;KS-IOS-AQU1;310028;Auftragsqualifizierung 1
b073428;Mustermann;Max2190;1066.0;KS-IOS-AQU1;310028;Auftragsqualifizierung 1
b071887;Mustermann;Max2190;1066.0;KS-IOS-AQU1;310028;Auftragsqualifizierung 1
b064382;Mustermann;Max2190;1066.0;KS-IOS-AQU1;310028;Auftragsqualifizierung 1
b073239;Mustermann;Max2190;1066.0;KS-IOS-AQU1;310028;Auftragsqualifizierung 1
b002610;Mustermann;Max2190;1066.0;KS-IOS-AQU1;310028;Auftragsqualifizierung 1
b073850;Mustermann;Max2190;1066.0;KS-IOS-AQU1;310028;Auftragsqualifizierung 1
b065230;Mustermann;Max2190;1066.0;KS-IOS-AQU1;310028;Auftragsqualifizierung 1
b070706;Mustermann;Max2190;1066.0;KS-IOS-AQU1;310028;Auftragsqualifizierung 1
b066445;Mustermann;Max2190;1066.0;KS-IOS-AQU1;310028;Auftragsqualifizierung 1
b073322;Mustermann;Max2190;1066.0;KS-IOS-AQU1;310028;Auftragsqualifizierung 1
b001688;Mustermann;Max2190;1066.0;KS-IOS-AQU1;310028;Auftragsqualifizierung 1
b041905;Mustermann;Max2190;1066.0;KS-IOS-AQU1;310028;Auftragsqualifizierung 1
b001237;Mustermann;Max2190;1066.0;KS-IOS-AQU1;310028;Auftragsqualifizierung 1
b072359;Mustermann;Max2190;1066.0;KS-IOS-AQU1;310028;Auftragsqualifizierung 1
b072621;Mustermann;Max2190;1066.0;KS-IOS-AQU1;310028;Auftragsqualifizierung 1
b002106;Mustermann;Max2190;1066.0;KS-IOS-AQU1;310028;Auftragsqualifizierung 1
b001334;Mustermann;Max2190;1075.0;VLS-Kranken Leistung 1;305056;KV-Leistung 1
b067784;Mustermann;Max2190;1075.0;VLS-Kranken Leistung 1;305056;KV-Leistung 1
b073970;Mustermann;Max2190;1075.0;VLS-Kranken Leistung 1;305056;KV-Leistung 1
b073450;Mustermann;Max2190;1075.0;VLS-Kranken Leistung 1;305056;KV-Leistung 1
b068779;Mustermann;Max2190;1075.0;VLS-Kranken Leistung 1;305056;KV-Leistung 1
b073972;Mustermann;Max2190;1075.0;VLS-Kranken Leistung 1;305056;KV-Leistung 1
b053341;Mustermann;Max2190;1075.0;VLS-Kranken Leistung 1;305056;KV-Leistung 1
b051568;Mustermann;Max2190;1075.0;VLS-Kranken Leistung 1;305056;KV-Leistung 1
b043420;Mustermann;Max2190;1075.0;VLS-Kranken Leistung 1;305056;KV-Leistung 1
b048399;Mustermann;Max2190;1075.0;VLS-Kranken Leistung 1;305056;KV-Leistung 1
b059001;Mustermann;Max2190;1075.0;VLS-Kranken Leistung 1;305056;KV-Leistung 1
b070723;Mustermann;Max2190;1075.0;VLS-Kranken Leistung 1;305056;KV-Leistung 1
b065012;Mustermann;Max2190;1075.0;VLS-Kranken Leistung 1;305056;KV-Leistung 1
b069643;Mustermann;Max2190;1075.0;VLS-Kranken Leistung 1;305056;KV-Leistung 1
b059796;Mustermann;Max2190;1075.0;VLS-Kranken Leistung 1;305056;KV-Leistung 1
b042664;Mustermann;Max2190;1075.0;VLS-Kranken Leistung 1;305056;KV-Leistung 1
